600052,7424
600070,48050
600064,37906
600122,11551
600115,21158
601102,21376
600097,8958
632502,23910
600127,7970
524152,10961
603202,31681
600095,86195
637410,35248
600125,13344
614616,38188
626005,27674
600100,29710
600016,4286
600125,25117
691573,19595
600069,11239
600041,28458
600107,59790
604307,21973
600052,23819
600041,26766
600117,12451
600100,43493
624212,75870
600122,15225
600063,37342
626118,43111
600074,21906
600056,57224
600116,46690
614705,10263
627953,52295
603108,45356
600056,16237
600119,26644
603204,13566
600069,6117
600104,5067
600009,15023
600001,135847
600013,23146
600021,83824
600003,75002
600002,121698
600005,67290
600081,73575
600084,44950
600007,34246
600118,95148
600039,64545
600023,92443
600102,51697
600010,61972
600031,109521
600008,60422
600012,107637
600011,55846
600082,56971
600110,55846
600038,33955
